
code_circonscription,departement,numero,communes,kml_shape,edited_shape
33004,33,4,33003-33096-33397-33433-33483-33487-33013-33049-33119-33293-33554-33065-33167-33535-33004-33032-33249-33434,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.454946,44.953424 -0.469475,44.970591 -0.472726,44.980231 -0.474471,44.994426 -0.483183,45.00258 -0.490897,45.004465 -0.494743,45.002983 -0.524756,45.017223 -0.554879,45.033533 -0.56863,45.036293 -0.577273,45.034095 -0.590572,45.037894 -0.596744,45.040182 -0.601329,45.033986 -0.595231,45.024341 -0.586897,45.015867 -0.560054,45.000795 -0.557399,44.994408 -0.542693,44.984414 -0.54054,44.974064 -0.540927,44.957684 -0.549075,44.938831 -0.549827,44.923459 -0.547736,44.916667 -0.535533,44.889099 -0.54141,44.869139 -0.536807,44.868087 -0.537847,44.861267 -0.537615,44.848135 -0.542231,44.84239 -0.546659,44.836292 -0.536423,44.829021 -0.537663,44.822772 -0.532352,44.816245 -0.526565,44.806147 -0.519561,44.802656 -0.498223,44.805378 -0.474582,44.825317 -0.452901,44.825706 -0.447462,44.834887 -0.448362,44.848917 -0.459498,44.86454 -0.449282,44.866363 -0.424468,44.872557 -0.410554,44.872372 -0.413325,44.86314 -0.389723,44.864053 -0.360685,44.852077 -0.331502,44.870078 -0.350316,44.889536 -0.352317,44.898631 -0.361116,44.901582 -0.364704,44.911296 -0.378678,44.91317 -0.393954,44.921229 -0.391375,44.927887 -0.383649,44.939009 -0.390843,44.943836 -0.399327,44.947506 -0.40932,44.947605 -0.439553,44.935057 -0.447797,44.938731 -0.451269,44.945454 -0.454946,44.953424</coordinates></LinearRing></outerBoundaryIs></Polygon>",
38001,38,1,38185-38126-38229-38471-38516-38039-38045-38249-38397-38431,"<Polygon><outerBoundaryIs><LinearRing><coordinates>5.739740999999981,45.23011 5.726274999999987,45.204528 5.720136000000025,45.199633 5.714042021118189,45.20174974765575 5.7173399196168475,45.18402427543112 5.714629669922033,45.17440172301612 5.731954302978693,45.1688896878565 5.740167717041231,45.1706936629734 5.742796999999996,45.165725 5.751870999999937,45.172826 5.746728999999959,45.185864 5.748932999999965,45.188954 5.7546839999999975,45.196794 5.763020999999981,45.195841 5.766565000000014,45.196636 5.774599999999964,45.200112 5.782959000000005,45.192156 5.796309000000065,45.189038 5.800449999999955,45.190556 5.797311000000036,45.203177 5.805288000000019,45.206202 5.818593999999962,45.202921 5.820516999999995,45.203142 5.836612000000059,45.216655 5.841528000000039,45.219801 5.844284000000016,45.225605 5.836653999999953,45.22925 5.836985000000027,45.232512 5.840596000000005,45.234556 5.852284000000054,45.229456 5.855626000000029,45.231713 5.854689000000008,45.240567 5.856935000000021,45.237608 5.875164000000041,45.234248 5.87957700000004,45.235486 5.882368000000042,45.241883 5.889757000000031,45.257461 5.87042299999996,45.272456 5.854295999999977,45.279726 5.850680000000011,45.285891 5.846659999999929,45.280894 5.838616000000002,45.280576 5.833372000000054,45.29718 5.82491200000004,45.293735 5.818739999999934,45.284016 5.8150040000000445,45.280299 5.8108250000000226,45.285495 5.787890999999945,45.287583 5.773113999999964,45.279697 5.761206000000016,45.26654 5.758099000000016,45.254048 5.762655999999993,45.244836 5.744640000000004,45.244424 5.744408000000021,45.234789 5.739740999999981,45.23011</coordinates></LinearRing></outerBoundaryIs></Polygon>",
